recall_number,reported_on,classification,commodity_slug,kind,analyte,recalling_firm,summary,source_url
H-1295-2026,2026-07-17,Class I,lettuce,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1295-2026%22
H-1295-2026,2026-07-17,Class I,carrot,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1295-2026%22
H-1295-2026,2026-07-17,Class I,cabbage,pathogen,Cyclospora,Taylor Farms de Mexico S. de R.L. de C.V.,[Class I] Potential Cyclospora contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1295-2026%22
H-1181-2026,2026-07-03,Class I,blueberry,pathogen,E. coli,Frutas y Hortalizas del Sur S.A.,[Class I] Potential E. coli O145:H28 Contamination,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1181-2026%22
H-1078-2026,2026-05-18,Class II,strawberry,pathogen,Salmonella,International Food Products Corporation,[Class II] Potential for Salmonella,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-1078-2026%22
H-0939-2026,2026-05-11,Class I,mushroom,pathogen,Listeria monocytogenes,HH FRESH TRADING CORP,[Class I] Imported Enoki Mushrooms tested positive for Listeria Monocytogenes.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-0939-2026%22
H-0887-2026,2026-05-01,Class I,onion,pathogen,Salmonella,"JCB Flavors, LLC",[Class I] Products may be potentially contaminated with Salmonella.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-0887-2026%22
H-0886-2026,2026-05-01,Class I,onion,pathogen,Salmonella,"JCB Flavors, LLC",[Class I] Products may be potentially contaminated with Salmonella.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-0886-2026%22
H-0898-2026,2026-05-14,Class I,mushroom,pathogen,Listeria monocytogenes,"IQ PRODUCE, LLC",[Class I] Imported Enoki Mushrooms samples collected by Florida Department of Health tested positive for Listeria Monocytogenes.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-0898-2026%22
H-0814-2026,2026-04-22,Class I,onion,pathogen,Salmonella,"PS Seasoning & Spices, Inc.",[Class I] Product was made with milk powder recalled by the supplier due to Salmonella contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-0814-2026%22
H-0812-2026,2026-04-22,Class I,mushroom,pathogen,Salmonella,"Fontana Flavors, Inc",[Class I] Product was made with milk powder recalled by the supplier due to Salmonella contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-0812-2026%22
H-0830-2026,2026-04-23,Class I,onion,pathogen,Salmonella,"Pork King Good, LLC",[Class I] Seasoning was made with recalled California Dairies milk powder due to Salmonella contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-0830-2026%22
H-0816-2026,2026-04-22,Class I,bell_pepper,pathogen,Salmonella,"PS Seasoning & Spices, Inc.",[Class I] Product was made with milk powder recalled by the supplier due to Salmonella contamination.,https://api.fda.gov/food/enforcement.json?search=recall_number:%22H-0816-2026%22
